指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
粤AGP2011,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 09:08:36,372,广东省-广州市,已完成
粤AGP4435,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 09:07:17,372,广东省-广州市,已完成
粤AGP4599,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-22 10:05:04,373,浙江省-嘉兴市,已完成
粤AGP9350,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-22 09:40:32,373,浙江省-嘉兴市,已完成
浙F06900F,飞驰,18吨厢式货车,库存,2027-06-30,2026-06-22 09:14:49,373,江苏省-苏州市,已完成
粤AGP5791,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 14:25:59,9,新疆维吾尔自治区-乌鲁木齐市,已完成
粤AGP5711,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 14:13:45,9,新疆维吾尔自治区-乌鲁木齐市,已完成
粤AGP5643,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 14:13:28,-375,新疆维吾尔自治区-乌鲁木齐市,已完成
浙F33788F,飞驰,18吨厢式货车,库存,2027-06-30,2026-06-21 10:06:19,374,江苏省-苏州市,已完成
沪A35951F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-21 09:58:26,374,浙江省-宁波市,已完成
沪A31563F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-21 09:50:45,374,浙江省-嘉兴市,已完成
粤AGP3672,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 09:03:42,374,广东省-广州市,已完成
粤AGP5792,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 09:02:18,374,广东省-广州市,已完成
粤AGP4325,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-21 08:58:07,374,广东省-广州市,已完成
粤AGP4451,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:57:18,374,广东省-广州市,已完成
粤AGP9731,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:55:17,374,广东省-深圳市,已完成
粤AGP3660,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:51:28,374,广东省-深圳市,已完成
粤AGP3642,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:50:01,374,广东省-深圳市,已完成
粤AGP3029,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:48:51,374,广东省-广州市,已完成
粤AGP5719,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:47:41,374,广东省-广州市,已完成
粤AGP3502,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:46:47,374,广东省-广州市,已完成
粤AGP9790,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:45:22,374,广东省-广州市,已完成
粤AGP5623,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:30:57,374,广东省-深圳市,已完成
粤AGP4223,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:28:24,374,广东省-广州市,已完成
粤AGP9330,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-21 08:26:55,9,广东省-韶关市,已完成
粤AGP5350,现代,帕力安牌4.5吨冷链车,库存,2026-06-30,2026-06-18 16:46:37,12,广东省-深圳市,已完成
沪A39286F,宇通,49吨牵引车头,租赁,2027-06-30,2026-06-18 15:45:50,377,四川省-成都市,已完成
沪A59895F,宇通,49吨牵引车头,租赁,2027-06-30,2026-06-18 15:42:59,377,四川省-成都市,已完成
京A19945F,楚风,18吨厢式货车,租赁,2027-07-31,2026-06-18 15:36:15,43,四川省-成都市,已完成
粤AGP9755,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-17 13:16:37,378,浙江省-杭州市,已完成
粤AGP3605,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-17 13:14:37,378,浙江省-嘉兴市,已完成
沪A32399F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-17 13:05:46,378,浙江省-嘉兴市,已完成
沪A50805F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-17 12:59:16,378,浙江省-宁波市,已完成
沪A68122F,宇通,49吨牵引车头,租赁,2027-06-30,2026-06-17 12:55:41,378,浙江省-嘉兴市,已完成
粤AGP3625,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-17 12:15:16,378,广东省-广州市,已完成
粤AGP5351,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-17 12:13:26,378,江苏省-苏州市,已完成
浙F07878F,飞驰,18吨厢式货车,库存,2027-06-30,2026-06-15 15:13:29,380,江苏省-苏州市,已完成
粤AGP5797,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-15 13:39:09,380,江苏省-苏州市,已完成
沪A33198F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-15 10:50:18,380,浙江省-嘉兴市,已完成
沪A65051F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-15 09:45:03,380,浙江省-嘉兴市,已完成
粤AGP4596,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-13 18:10:13,17,广东省-广州市,已完成
粤AGP4325,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-13 11:27:33,382,广东省-广州市,已完成
粤AGP3503,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 17:17:21,383,浙江省-嘉兴市,已完成
沪A62261F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-12 14:55:52,383,浙江省-嘉兴市,已完成
沪A50628F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-12 14:54:44,383,浙江省-嘉兴市,已完成
沪A30309F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-12 14:53:13,383,浙江省-嘉兴市,已完成
沪A62802F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-12 14:49:46,383,浙江省-嘉兴市,已完成
粤AGP5646,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 14:46:15,383,江苏省-苏州市,已完成
粤AGP3617,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-12 14:45:05,383,广东省-广州市,已完成
粤AGP3486,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 14:42:43,383,广东省-广州市,已完成
粤AGP5763,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 14:28:22,383,浙江省-嘉兴市,已完成
粤AGG3413,现代,4.5吨货车,租赁,2027-05-31,2026-06-12 14:25:17,353,广东省-东莞市,已完成
粤AF09130,现代,4.5吨货车,租赁,2027-05-31,2026-06-12 14:20:05,353,广东省-东莞市,已完成
粤AGP5749,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 14:04:29,383,浙江省-嘉兴市,已完成
粤AGP5691,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 14:04:26,383,浙江省-嘉兴市,已完成
沪A68019F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-12 14:02:56,383,浙江省-嘉兴市,已完成
粤AGP5651,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-12 13:55:34,383,浙江省-嘉兴市,已完成
粤AGP4629,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-11 22:00:38,384,广东省-佛山市,已完成
粤AGP2017,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-11 21:59:28,19,广东省-佛山市,已完成
沪A03212F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-11 12:05:11,384,四川省-成都市,已完成
沪A60591F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-11 12:04:34,384,四川省-成都市,已完成
沪A59895F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-11 12:04:00,384,四川省-成都市,已完成
