指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
沪A50026F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,浙江省-金华市,待办
沪A68857F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-上海市,待办
沪A69695F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,安徽省-合肥市,待办
沪A63013F,苏龙,海格牌18吨双飞翼货车,库存,2026-07-31,7,浙江省-金华市,待办
沪A61121F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,安徽省-合肥市,待办
沪A67033F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A39608F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A51612F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A39815F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A50069F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A01813F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A36133F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A62322F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A51677F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A06695F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A63697F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A66256F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A00220F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-常州市,待办
沪A68752F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A59932F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A52511F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A59682F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A31613F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A59799F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A51580F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A55339F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A50309F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A30399F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A30010F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A31031F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A06335F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A65522F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A08786F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A61312F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,上海市-南京市,待办
沪A33216F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A69997F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,江苏省-南京市,待办
沪A55697F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,浙江省-嘉兴市,待办
沪A35656F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,浙江省-嘉兴市,待办
沪A57858F,苏龙,海格牌18吨双飞翼货车,租赁,2026-07-31,7,浙江省-嘉兴市,待办
沪A01056F,苏龙,海格牌18吨双飞翼货车,租赁,2026-08-31,38,陕西省-西安市,待办
浙FF58720,跃进,4.5吨冷链车,库存,2026-08-31,38,浙江省-乌鲁木齐市,待办
浙FKV19挂,通华,重型集装箱半挂车,库存,2026-08-31,38,浙江省-嘉兴市,待办
沪AGN1890,跃进,4.5吨冷链车,租赁,2026-08-31,38,浙江省-嘉兴市,待办
沪AGK9821,跃进,4.5吨冷链车,库存,2026-08-31,38,浙江省-嘉兴市,待办
沪A59119F,苏龙,海格牌18吨双飞翼货车,租赁,2026-08-31,38,浙江省-上海市,待办
沪AGP3855,跃进,4.5吨冷链车,库存,2026-08-31,38,浙江省-嘉兴市,待办
沪AGX7675,跃进,4.5吨冷链车,库存,2026-08-31,38,浙江省-嘉兴市,待办
沪A08037F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,江苏省-南京市,待办
沪AGV2503,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW7720,跃进,4.5吨冷链车,库存,2026-09-30,68,广东省-韶关市,待办
沪A08315F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-金华市,待办
沪A09251F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-金华市,待办
沪A66921F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,上海市-上海市,待办
沪A57139F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,上海市-上海市,待办
沪A03620F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,上海市-上海市,待办
浙F08133F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F05202F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F06885F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F05521F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F09968F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F01505F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F08112F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F08860F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F08863F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
浙F00661F,飞驰,49吨牵引车头,租赁,2026-09-30,68,浙江省-嘉兴市,待办
