险种,已维护保单数,正常,临期,异常,未购买/待购及其他
交强险,1000,888,10,102,48
商业险,992,754,36,202,64
超赔险,434,337,69,28,1180
货物险,10,10,0,0,2028
驾意险,33,28,0,0,1987

车辆保险状态,数量
正常,722
临期,36
异常,266
待购,0
台账车辆总数,1024
已维护保单槽位数(按险种计),2469
去重保单号数,2452
